move_key,symbol,year,event_type,event_ordinal,date,pct_through_move,gain_from_move_start,history_bars,label,move_gain_pct,close,event_gap_pct,event_rel_vol,event_rel_vol20,close_in_range,adr_pct_20,dollar_vol_20m,rs_63d,above_sma50,above_sma200,ema_stack_bull,trend_template,pct_off_52wk_high,pct_above_52wk_low,prior_gain_1m,prior_gain_3m,prior_gain_6m,trail60_ema10_adh,trail60_sma50_touches,tightness_10,depth_20,contraction_5v15,spy_above_50sma,spy_above_200sma,fwd_bars,fwd_ret_5,fwd_ret_10,fwd_ret_20,fwd_ret_60,fwd_mfe_60,fwd_mae_60,lod_stop_survives_20,reach_2r_before_stop,fwd_ema10_adh_60,fwd_max_dd_60
ACGN_2000,ACGN,2000,move_start,1,2000-01-06,0.0,0.0,3,,714.76,1151.0088,0.0,,,100.0,,,,False,False,False,False,,,,,,100.0,0,,,,,,60,29.23,115.39,72.31,140.01,576.94,-7.69,True,True,55.0,-69.23
ACGN_2000,ACGN,2000,breakout20,1,2000-02-18,88.2,281.5,33,,714.76,4391.6712,13.16,,5.66,78.57,16.21,358.74,,False,False,False,False,,,69.86,,,79.41,0,30.6,67.65,2.05,,,60,29.03,28.23,-9.68,-64.52,77.42,-64.52,True,True,25.0,-78.85
ACGN_2000,ACGN,2000,gap,1,2000-02-18,88.2,281.5,33,,714.76,4391.6712,13.16,,5.66,78.57,16.21,358.74,,False,False,False,False,,,69.86,,,79.41,0,30.6,67.65,2.05,,,60,29.03,28.23,-9.68,-64.52,77.42,-64.52,True,True,25.0,-78.85
ACGN_2000,ACGN,2000,gap,2,2000-02-25,100.0,383.1,37,,714.76,5560.4824,41.94,,4.1,12.5,21.29,839.92,,False,False,False,False,,,112.17,,,81.58,0,48.72,80.0,4.37,,,60,-15.92,-19.11,-43.95,-74.52,24.84,-80.89,False,True,18.33,-81.25
BBRY_2000,BBRY,2000,move_start,1,2000-05-26,0.0,0.0,101,,470.7,25.125,-0.12,0.48,0.8,71.43,9.2,33.31,0.17,False,False,False,False,-85.7,8.06,-37.58,-82.87,,16.67,1,16.09,53.27,0.65,False,,60,58.46,84.58,111.19,149.75,165.17,-0.5,True,True,70.0,-37.74
BBRY_2000,BBRY,2000,gap,1,2000-06-01,2.9,55.0,104,,470.7,38.9375,14.4,1.52,2.47,75.38,9.92,32.56,0.24,False,False,False,False,-77.84,67.47,-14.89,-75.04,,15.0,1,14.3,47.53,0.92,True,,60,15.09,12.68,0.0,63.56,71.11,-6.26,True,True,71.67,-37.74
BBRY_2000,BBRY,2000,gap,2,2000-06-02,3.8,65.4,105,,470.7,41.5625,15.41,1.0,1.58,8.33,9.92,34.17,0.26,False,False,False,False,-76.35,78.76,-3.34,-72.43,,16.67,1,16.9,48.33,1.14,True,,60,13.98,1.65,8.12,53.23,60.3,-12.18,False,False,71.67,-37.74
BBRY_2000,BBRY,2000,breakout20,1,2000-06-09,8.7,88.6,110,,470.7,47.375,3.35,0.88,1.25,71.43,9.63,40.45,0.34,False,False,False,False,-73.04,103.76,30.24,-64.91,,25.0,2,18.42,51.44,0.4,True,,60,-10.82,17.94,13.98,80.47,85.09,-22.96,False,False,71.67,-37.74
BBRY_2000,BBRY,2000,breakout20,2,2000-06-21,16.3,117.2,118,,470.7,54.5625,-2.62,1.73,1.95,91.33,9.45,53.56,0.41,True,False,True,False,-68.95,134.68,77.44,-59.28,,28.33,8,7.43,58.01,0.58,True,,60,-21.42,-5.96,16.84,52.58,60.71,-33.1,False,False,70.0,-37.74
BBRY_2000,BBRY,2000,breakout20,3,2000-08-29,62.5,188.1,166,,470.7,72.375,0.2,1.24,2.75,97.28,5.24,31.05,2.12,True,False,True,False,-58.82,211.29,33.56,125.29,-50.77,71.67,7,5.46,32.01,0.82,True,,60,11.1,8.03,16.93,-0.56,83.33,-5.27,True,True,63.33,-43.91
