move_key,symbol,year,event_type,event_ordinal,date,pct_through_move,gain_from_move_start,history_bars,label,move_gain_pct,close,event_gap_pct,event_rel_vol,event_rel_vol20,close_in_range,adr_pct_20,dollar_vol_20m,rs_63d,above_sma50,above_sma200,ema_stack_bull,trend_template,pct_off_52wk_high,pct_above_52wk_low,prior_gain_1m,prior_gain_3m,prior_gain_6m,trail60_ema10_adh,trail60_sma50_touches,tightness_10,depth_20,contraction_5v15,spy_above_50sma,spy_above_200sma,fwd_bars,fwd_ret_5,fwd_ret_10,fwd_ret_20,fwd_ret_60,fwd_mfe_60,fwd_mae_60,lod_stop_survives_20,reach_2r_before_stop,fwd_ema10_adh_60,fwd_max_dd_60
BBRY_2000,BBRY,2000,breakout50,1,2000-08-29,62.5,188.1,166,,470.7,72.375,0.2,1.24,2.75,97.28,5.24,31.05,2.12,True,False,True,False,-58.82,211.29,33.56,125.29,-50.77,71.67,7,5.46,32.01,0.82,True,,60,11.1,8.03,16.93,-0.56,83.33,-5.27,True,True,63.33,-43.91
BBRY_2000,BBRY,2000,gap,3,2000-09-29,83.7,292.5,188,,470.7,98.625,11.86,6.27,3.65,60.51,9.03,161.54,2.22,True,False,True,False,-43.88,324.19,38.06,119.47,-7.39,75.0,0,8.33,30.24,1.4,False,,60,13.31,1.14,1.33,-20.09,34.54,-47.53,False,True,45.0,-58.01
BBRY_2000,BBRY,2000,breakout20,4,2000-10-02,84.6,310.4,189,,470.7,103.125,-1.08,1.99,1.16,55.74,9.37,168.69,2.16,True,False,True,False,-41.32,343.55,36.82,111.27,17.86,75.0,0,10.28,34.93,1.28,False,,60,8.61,6.24,-19.21,-24.85,28.67,-49.82,False,False,43.33,-58.01
BBRY_2000,BBRY,2000,breakout50,2,2000-10-02,84.6,310.4,189,,470.7,103.125,-1.08,1.99,1.16,55.74,9.37,168.69,2.16,True,False,True,False,-41.32,343.55,36.82,111.27,17.86,75.0,0,10.28,34.93,1.28,False,,60,8.61,6.24,-19.21,-24.85,28.67,-49.82,False,False,43.33,-58.01
BCSI_2000,BCSI,2000,move_start,1,2000-04-17,0.0,0.0,71,,497.7,30.5,-21.17,2.1,2.05,23.33,20.89,148.82,0.35,False,False,False,False,-79.67,12.96,-70.39,-66.67,,48.33,3,37.69,79.07,1.12,False,,60,87.7,113.11,62.72,175.41,188.52,1.64,True,True,58.33,-51.69
BCSI_2000,BCSI,2000,gap,1,2000-04-18,0.9,21.5,72,,497.7,37.06,8.82,3.16,2.81,58.38,21.62,154.26,0.43,False,False,False,False,-75.29,37.26,-61.12,-57.03,,48.33,3,41.53,79.07,0.94,True,,60,63.57,69.99,38.96,113.68,137.45,-3.21,True,True,60.0,-51.69
BCSI_2000,BCSI,2000,gap,2,2000-04-19,1.9,63.9,73,,497.7,50.0,18.56,1.86,1.59,85.11,22.55,158.26,0.6,False,False,False,False,-66.67,85.19,-43.74,-41.18,,48.33,3,42.2,79.07,0.43,False,,60,39.88,29.26,-12.5,66.0,76.0,-28.26,False,False,61.67,-51.69
BCSI_2000,BCSI,2000,breakout20,1,2000-07-07,50.5,121.7,125,,497.7,67.63,-1.85,2.55,2.71,85.5,10.06,136.2,0.7,True,False,True,False,-54.91,150.48,10.42,-30.99,,48.33,10,9.94,29.01,0.95,True,,60,22.73,6.28,4.61,59.69,138.62,-17.0,False,True,78.33,-35.67
BCSI_2000,BCSI,2000,breakout50,1,2000-07-13,54.2,183.6,129,,497.7,86.5,0.0,1.95,1.81,96.3,9.74,180.0,0.99,True,False,True,False,-42.33,220.37,51.09,-1.77,-8.47,55.0,10,13.22,44.1,1.5,True,,60,-19.08,-31.93,-8.81,25.01,86.57,-35.11,False,False,71.67,-36.22
BCSI_2000,BCSI,2000,breakout20,2,2000-08-15,74.8,208.0,151,,497.7,93.94,0.0,5.46,6.11,75.9,10.93,163.25,2.05,True,False,True,False,-37.37,247.93,13.18,116.6,-8.35,61.67,11,11.74,42.58,0.91,True,,60,-2.33,16.44,30.27,14.9,71.79,-12.71,True,True,70.0,-47.77
BCSI_2000,BCSI,2000,breakout50,2,2000-08-15,74.8,208.0,151,,497.7,93.94,0.0,5.46,6.11,75.9,10.93,163.25,2.05,True,False,True,False,-37.37,247.93,13.18,116.6,-8.35,61.67,11,11.74,42.58,0.91,True,,60,-2.33,16.44,30.27,14.9,71.79,-12.71,True,True,70.0,-47.77
BCSI_2000,BCSI,2000,breakout20,3,2000-08-31,84.1,258.6,161,,497.7,109.38,-4.88,1.76,1.31,93.87,8.69,380.73,2.03,True,False,True,False,-27.08,305.11,60.85,123.86,-10.71,71.67,11,6.46,48.41,0.42,True,,60,3.66,11.89,30.74,-56.98,47.54,-68.46,True,True,55.0,-78.03
BCSI_2000,BCSI,2000,breakout50,3,2000-08-31,84.1,258.6,161,,497.7,109.38,-4.88,1.76,1.31,93.87,8.69,380.73,2.03,True,False,True,False,-27.08,305.11,60.85,123.86,-10.71,71.67,11,6.46,48.41,0.42,True,,60,3.66,11.89,30.74,-56.98,47.54,-68.46,True,True,55.0,-78.03
BCSI_2000,BCSI,2000,breakout20,4,2000-09-14,92.5,295.3,170,,497.7,120.56,0.1,1.4,0.94,70.8,7.39,505.28,2.05,True,False,True,False,-19.63,346.52,52.84,111.51,3.16,73.33,9,3.59,33.25,0.48,True,,60,11.98,20.69,-12.91,-41.83,33.86,-71.38,False,True,45.0,-78.03
BCSI_2000,BCSI,2000,breakout50,4,2000-09-14,92.5,295.3,170,,497.7,120.56,0.1,1.4,0.94,70.8,7.39,505.28,2.05,True,False,True,False,-19.63,346.52,52.84,111.51,3.16,73.33,9,3.59,33.25,0.48,True,,60,11.98,20.69,-12.91,-41.83,33.86,-71.38,False,True,45.0,-78.03
BCSI_2000,BCSI,2000,breakout20,5,2000-09-25,99.1,395.2,177,,497.7,151.03,3.73,2.92,2.38,61.01,7.75,516.46,2.74,True,False,True,False,-4.34,459.37,64.61,167.31,58.46,81.67,4,9.54,42.2,1.25,False,,60,-5.73,-25.01,-17.23,-72.65,6.85,-77.16,False,False,36.67,-78.03
BCSI_2000,BCSI,2000,breakout50,5,2000-09-25,99.1,395.2,177,,497.7,151.03,3.73,2.92,2.38,61.01,7.75,516.46,2.74,True,False,True,False,-4.34,459.37,64.61,167.31,58.46,81.67,4,9.54,42.2,1.25,False,,60,-5.73,-25.01,-17.23,-72.65,6.85,-77.16,False,False,36.67,-78.03
CIEN_2000,CIEN,2000,move_start,1,2000-01-06,0.0,0.0,2,,565.56,160.5625,0.5,,,8.0,,,,False,False,False,False,,,,,,33.33,0,,,,,,60,36.24,60.9,64.71,148.23,311.99,4.63,True,True,73.33,-36.62
CIEN_2000,CIEN,2000,breakout20,1,2000-02-07,10.5,76.2,23,,565.56,282.8438,4.22,,1.12,52.33,7.94,278.64,,False,False,False,False,,,76.16,,,79.17,0,6.71,31.18,0.8,,,60,23.51,47.33,109.13,57.1,133.87,-1.93,True,True,56.67,-55.23
CIEN_2000,CIEN,2000,breakout20,2,2000-02-16,14.0,156.5,30,,565.56,411.9062,-1.63,,2.46,83.86,8.93,394.53,,False,False,False,False,,,68.88,,,83.87,0,14.68,50.57,1.39,,,60,5.95,33.83,13.42,16.62,60.59,-32.66,True,True,55.0,-55.23
CIEN_2000,CIEN,2000,breakout20,3,2000-02-25,17.0,195.6,36,,565.56,474.6875,1.05,,1.11,63.82,8.89,513.58,,False,False,False,False,,,99.08,,,86.49,0,10.65,57.85,0.46,,,60,24.84,20.09,19.72,-20.46,39.35,-41.57,False,True,51.67,-55.23
CIEN_2000,CIEN,2000,gap,1,2000-03-16,24.0,191.0,50,,565.56,467.1954,5.74,1.96,1.72,97.92,10.86,923.58,,True,False,True,False,,,33.9,,,80.39,0,11.7,41.77,0.71,True,,60,15.88,-3.17,-25.08,4.41,24.55,-40.63,False,False,53.33,-51.19
CIEN_2000,CIEN,2000,breakout20,4,2000-05-01,39.5,205.3,81,,565.56,490.2188,2.53,1.28,1.13,85.04,14.82,790.62,2.03,True,False,False,False,-25.89,208.68,8.37,113.43,,56.67,0,14.63,44.43,0.95,True,,60,-10.66,0.98,-13.25,19.28,28.69,-35.83,False,False,76.67,-41.14
CIEN_2000,CIEN,2000,breakout20,5,2000-05-16,45.0,232.8,92,,565.56,534.4062,2.7,1.02,1.09,91.5,10.67,733.28,1.47,True,False,True,False,-19.21,236.5,73.51,53.17,,55.0,4,6.98,43.04,0.68,True,,60,-34.67,-21.61,-5.4,-1.56,18.05,-41.14,False,False,68.33,-37.64
CIEN_2000,CIEN,2000,breakout20,6,2000-06-19,56.5,240.1,115,,565.56,546.0,-1.16,0.79,0.79,99.17,8.64,815.86,1.17,True,False,True,False,-17.46,243.8,13.61,18.8,,58.33,6,4.82,42.43,0.37,True,,60,0.76,9.62,0.6,24.28,47.52,-17.71,True,False,71.67,-26.12
CIEN_2000,CIEN,2000,breakout50,1,2000-06-19,56.5,240.1,115,,565.56,546.0,-1.16,0.79,0.79,99.17,8.64,815.86,1.17,True,False,True,False,-17.46,243.8,13.61,18.8,,58.33,6,4.82,42.43,0.37,True,,60,0.76,9.62,0.6,24.28,47.52,-17.71,True,False,71.67,-26.12
CIEN_2000,CIEN,2000,breakout20,7,2000-07-03,61.5,272.8,125,,565.56,598.5,-0.56,0.26,0.34,100.0,6.32,683.23,1.54,True,False,True,False,-9.52,276.86,23.63,50.16,,70.0,6,4.47,25.73,0.43,True,,60,-2.12,-8.22,-16.08,44.01,59.36,-24.93,False,False,73.33,-26.12
CIEN_2000,CIEN,2000,breakout50,2,2000-07-03,61.5,272.8,125,,565.56,598.5,-0.56,0.26,0.34,100.0,6.32,683.23,1.54,True,False,True,False,-9.52,276.86,23.63,50.16,,70.0,6,4.47,25.73,0.43,True,,60,-2.12,-8.22,-16.08,44.01,59.36,-24.93,False,False,73.33,-26.12
CIEN_2000,CIEN,2000,breakout20,8,2000-08-15,76.5,270.6,155,,565.56,595.0,-0.5,1.02,1.15,88.15,6.9,596.97,1.09,True,False,True,False,-10.05,274.66,5.59,11.34,70.53,70.0,11,6.32,24.93,0.72,True,,60,12.57,24.67,14.04,5.81,77.65,-4.04,True,True,63.33,-43.81
CIEN_2000,CIEN,2000,breakout50,3,2000-08-22,79.0,317.2,160,,565.56,669.8125,0.17,1.92,1.69,82.42,7.22,900.14,1.76,True,False,True,False,-1.03,321.76,18.09,91.85,63.83,78.33,11,7.84,33.61,0.71,True,,60,10.74,8.92,22.01,4.96,57.81,-12.48,False,True,58.33,-43.98
CIEN_2000,CIEN,2000,breakout20,9,2000-08-28,81.0,356.5,164,,565.56,733.0312,0.51,1.18,1.06,91.59,5.94,954.07,1.62,True,False,True,False,-0.53,361.57,55.79,72.38,31.05,78.33,9,7.86,39.03,0.46,True,,60,3.29,-14.53,21.4,-8.09,44.2,-20.02,False,False,53.33,-43.98
CIEN_2000,CIEN,2000,breakout50,4,2000-08-31,82.5,383.2,167,,565.56,775.9062,-0.09,1.0,0.89,99.13,5.64,1018.45,1.56,True,False,True,False,-0.06,388.57,60.72,60.28,30.93,78.33,9,7.05,35.87,0.46,True,,60,-9.95,-3.27,10.8,-12.09,36.23,-24.44,False,False,50.0,-43.98
CIEN_2000,CIEN,2000,breakout20,10,2000-09-20,89.0,409.0,180,,565.56,817.25,1.13,0.99,0.79,66.67,6.67,1561.99,1.51,True,False,True,False,-2.51,414.6,28.25,47.78,55.09,73.33,9,8.19,27.04,0.71,False,,60,5.46,-1.98,6.26,-16.97,29.34,-42.88,False,False,46.67,-55.39
CIEN_2000,CIEN,2000,breakout50,5,2000-09-20,89.0,409.0,180,,565.56,817.25,1.13,0.99,0.79,66.67,6.67,1561.99,1.51,True,False,True,False,-2.51,414.6,28.25,47.78,55.09,73.33,9,8.19,27.04,0.71,False,,60,5.46,-1.98,6.26,-16.97,29.34,-42.88,False,False,46.67,-55.39
CIEN_2000,CIEN,2000,breakout20,11,2000-10-20,100.0,551.8,202,,565.56,1046.5,1.24,0.81,0.88,87.1,9.91,1617.22,1.94,True,True,True,False,-0.99,558.95,30.85,84.5,230.39,71.67,8,10.54,32.95,0.99,False,False,60,-30.18,-24.21,-30.14,-31.48,0.04,-60.16,False,False,38.33,-58.09
CIEN_2000,CIEN,2000,breakout50,6,2000-10-20,100.0,551.8,202,,565.56,1046.5,1.24,0.81,0.88,87.1,9.91,1617.22,1.94,True,True,True,False,-0.99,558.95,30.85,84.5,230.39,71.67,8,10.54,32.95,0.99,False,False,60,-30.18,-24.21,-30.14,-31.48,0.04,-60.16,False,False,38.33,-58.09
CTIC_2000,CTIC,2000,move_start,1,2000-01-05,0.0,0.0,2,,1358.53,6524.97,1.6,,,18.18,,,,False,False,False,False,,,,,,33.33,0,,,,,,60,60.92,125.29,112.64,331.04,856.33,0.0,True,True,73.33,-65.15
CTIC_2000,CTIC,2000,breakout20,1,2000-02-14,13.4,215.5,29,,1358.53,20584.8,1.08,,1.28,74.51,14.34,17.15,,False,False,False,False,,,112.76,,,80.0,0,12.46,56.34,0.74,,,60,26.79,130.27,51.57,-22.03,203.14,-38.79,True,True,41.67,-77.95
CTIC_2000,CTIC,2000,gap,1,2000-02-16,14.4,273.6,31,,1358.53,24375.0,5.62,,1.72,89.39,14.15,19.48,,False,False,False,False,,,116.67,,,81.25,0,18.96,53.61,1.18,,,60,14.46,104.31,16.31,-9.54,156.0,-48.31,True,True,41.67,-77.95
CTIC_2000,CTIC,2000,breakout20,2,2000-02-25,17.4,422.6,37,,1358.53,34096.77,3.6,,1.46,93.59,14.45,26.71,,False,False,False,False,,,85.56,,,84.21,0,19.67,66.5,0.58,,,60,47.81,4.7,-1.9,-34.01,83.01,-63.05,False,True,41.67,-77.95
CTIC_2000,CTIC,2000,gap,2,2000-02-28,17.9,506.9,38,,1358.53,39600.0,6.46,,1.78,100.0,13.94,30.21,,False,False,False,False,,,141.1,,,84.62,0,21.09,70.83,0.83,,,60,16.1,-15.34,-10.12,-46.97,57.58,-68.18,False,True,40.0,-77.95
CTIC_2000,CTIC,2000,gap,3,2000-05-12,44.3,237.9,91,,1358.53,22050.0,14.17,1.43,1.88,84.21,11.85,15.65,1.21,False,False,False,False,-64.66,245.88,6.52,25.11,,41.67,1,10.71,44.37,0.82,False,,60,8.16,-23.13,27.21,89.8,118.37,-25.17,False,False,78.33,-31.25
CTIC_2000,CTIC,2000,breakout20,3,2000-05-15,44.8,254.0,92,,1358.53,23100.0,-0.34,1.01,1.31,83.33,11.39,15.95,1.08,False,False,False,False,-62.98,262.35,15.79,12.22,,41.67,1,12.95,46.15,0.91,True,,60,-2.6,-17.94,14.29,99.36,108.44,-28.57,False,False,78.33,-31.25
CTIC_2000,CTIC,2000,gap,4,2000-05-16,45.3,260.9,93,,1358.53,23550.0,8.44,1.17,1.51,41.18,10.48,16.37,1.13,False,False,False,False,-62.26,269.41,32.49,17.6,,41.67,1,15.27,43.11,1.57,True,,60,-10.83,-17.83,11.46,103.18,106.37,-29.94,False,False,78.33,-31.25
CTIC_2000,CTIC,2000,breakout20,4,2000-06-09,53.7,313.8,110,,1358.53,27000.0,2.09,1.15,1.22,91.3,9.42,18.1,0.72,True,False,True,False,-56.73,323.53,68.22,-24.37,,38.33,5,13.41,39.56,0.75,True,,60,5.83,25.56,32.78,102.36,117.91,-4.44,True,True,85.0,-18.93
CTIC_2000,CTIC,2000,breakout50,1,2000-06-16,56.2,337.9,115,,1358.53,28575.0,0.28,0.98,1.07,73.53,8.85,17.72,0.9,True,False,True,False,-54.21,348.24,23.7,-9.72,,46.67,5,9.46,43.59,0.32,True,,60,18.64,28.61,17.85,74.21,105.9,-1.04,True,True,80.0,-18.93
CTIC_2000,CTIC,2000,breakout20,5,2000-06-22,58.2,415.5,119,,1358.53,33639.34,0.61,1.79,1.81,90.32,8.04,21.35,1.09,True,False,True,False,-46.09,427.68,60.19,3.83,,46.67,5,8.05,51.6,0.62,True,,60,14.37,7.91,4.79,47.15,74.9,-5.91,True,True,75.0,-18.93
CTIC_2000,CTIC,2000,breakout50,2,2000-06-27,59.7,433.3,122,,1358.53,34800.0,-0.22,1.28,1.22,58.82,7.19,24.49,1.06,True,False,True,False,-44.23,445.88,105.31,1.75,,51.67,4,9.79,48.91,0.53,True,,60,6.84,11.65,14.66,51.98,69.07,-9.05,False,True,71.67,-23.17
CTIC_2000,CTIC,2000,breakout20,6,2000-08-04,73.1,583.9,149,,1358.53,44625.0,0.6,2.35,2.23,60.5,9.39,40.02,2.47,True,False,True,False,-28.49,600.0,23.44,152.12,187.44,78.33,4,6.55,34.27,1.51,True,,60,5.55,0.84,27.31,64.37,108.36,-6.22,True,True,73.33,-23.17
CTIC_2000,CTIC,2000,breakout50,3,2000-08-04,73.1,583.9,149,,1358.53,44625.0,0.6,2.35,2.23,60.5,9.39,40.02,2.47,True,False,True,False,-28.49,600.0,23.44,152.12,187.44,78.33,4,6.55,34.27,1.51,True,,60,5.55,0.84,27.31,64.37,108.36,-6.22,True,True,73.33,-23.17
CTIC_2000,CTIC,2000,gap,5,2000-08-09,74.6,605.8,152,,1358.53,46051.69,5.19,1.69,1.6,79.1,9.3,43.46,2.69,True,False,True,False,-26.2,622.38,23.54,186.93,200.99,78.33,4,8.48,34.27,1.24,True,,60,-5.22,-0.82,11.72,79.78,101.9,-8.64,True,True,73.33,-23.17
CTIC_2000,CTIC,2000,breakout20,7,2000-08-24,80.1,662.7,163,,1358.53,49768.8,1.87,1.13,1.08,94.44,7.95,53.2,2.5,True,False,True,False,-20.24,680.69,24.73,174.21,45.96,85.0,2,3.82,34.59,0.43,True,,60,12.12,8.05,20.86,9.12,86.82,-12.29,False,True,60.0,-44.21
CTIC_2000,CTIC,2000,breakout50,4,2000-08-24,80.1,662.7,163,,1358.53,49768.8,1.87,1.13,1.08,94.44,7.95,53.2,2.5,True,False,True,False,-20.24,680.69,24.73,174.21,45.96,85.0,2,3.82,34.59,0.43,True,,60,12.12,8.05,20.86,9.12,86.82,-12.29,False,True,60.0,-44.21
CTIC_2000,CTIC,2000,breakout20,8,2000-09-22,90.0,821.8,183,,1358.53,60150.0,-5.74,1.47,1.39,97.59,8.71,64.39,1.76,True,False,True,False,-3.61,843.53,31.69,77.43,79.82,71.67,0,7.13,27.78,1.46,False,,60,33.04,20.95,46.2,-21.6,54.58,-39.15,True,True,43.33,-58.38
CTIC_2000,CTIC,2000,breakout50,5,2000-09-22,90.0,821.8,183,,1358.53,60150.0,-5.74,1.47,1.39,97.59,8.71,64.39,1.76,True,False,True,False,-3.61,843.53,31.69,77.43,79.82,71.67,0,7.13,27.78,1.46,False,,60,33.04,20.95,46.2,-21.6,54.58,-39.15,True,True,43.33,-58.38
CTIC_2000,CTIC,2000,gap,6,2000-09-27,91.5,992.0,186,,1358.53,71250.0,6.73,2.78,2.38,85.19,10.64,83.73,1.86,True,False,True,False,-1.66,1017.65,45.26,82.51,130.58,71.67,0,13.81,39.75,1.74,False,,60,8.0,-3.13,8.66,-36.22,30.5,-48.63,False,False,40.0,-58.38
CTIC_2000,CTIC,2000,breakout20,9,2000-10-16,98.0,1171.9,199,,1358.53,82990.03,0.52,0.95,0.75,92.26,11.72,124.01,2.71,True,True,True,False,-1.07,1201.81,63.93,150.35,374.91,76.67,0,6.53,47.97,0.57,False,False,60,1.58,-11.62,-30.41,-37.05,12.04,-55.9,False,False,38.33,-58.38
CTIC_2000,CTIC,2000,breakout50,6,2000-10-16,98.0,1171.9,199,,1358.53,82990.03,0.52,0.95,0.75,92.26,11.72,124.01,2.71,True,True,True,False,-1.07,1201.81,63.93,150.35,374.91,76.67,0,6.53,47.97,0.57,False,False,60,1.58,-11.62,-30.41,-37.05,12.04,-55.9,False,False,38.33,-58.38
ELON_2000,ELON,2000,move_start,1,2000-01-04,0.0,0.0,1,,622.97,177.35,-11.1,,,49.99,,,,False,False,False,False,,,,,,50.0,0,,,,,,60,85.91,193.55,91.72,289.06,537.57,0.08,True,True,63.33,-40.15
ELON_2000,ELON,2000,gap,1,2000-02-24,72.9,154.1,36,,622.97,450.6,7.15,,1.81,82.5,9.85,30.18,,False,False,False,False,,,21.78,,,62.16,0,7.0,35.46,0.64,,,60,81.42,107.03,95.09,24.0,150.94,-52.07,True,True,45.0,-79.51
ELON_2000,ELON,2000,breakout20,1,2000-02-25,75.0,246.9,37,,622.97,615.24,16.88,,5.0,60.15,10.61,42.48,,False,False,False,False,,,57.0,,,63.16,0,16.08,54.07,1.92,,,60,35.87,47.1,36.48,-13.85,83.79,-64.9,True,True,45.0,-79.51
ELON_2000,ELON,2000,gap,2,2000-02-25,75.0,246.9,37,,622.97,615.24,16.88,,5.0,60.15,10.61,42.48,,False,False,False,False,,,57.0,,,63.16,0,16.08,54.07,1.92,,,60,35.87,47.1,36.48,-13.85,83.79,-64.9,True,True,45.0,-79.51
ELON_2000,ELON,2000,gap,3,2000-02-28,77.1,426.9,38,,622.97,934.47,11.42,,4.61,76.1,11.93,66.66,,False,False,False,False,,,134.17,,,64.1,0,36.05,69.3,3.89,,,60,-5.96,-1.35,-8.77,-40.96,21.0,-76.89,False,False,45.0,-79.51
ELX_2000,ELX,2000,move_start,1,2000-04-17,0.0,0.0,73,,419.72,41.69,-10.34,2.35,1.24,58.95,22.74,462.56,0.31,False,False,False,False,-81.51,17.44,-77.21,-69.92,,53.33,0,29.04,84.26,0.4,False,,60,12.74,27.73,30.73,61.77,82.3,-10.05,True,True,51.67,-40.11
ELX_2000,ELX,2000,breakout20,1,2000-06-20,26.7,43.6,117,,419.72,59.88,-1.36,1.19,2.22,63.55,9.98,84.99,0.3,True,False,True,False,-73.45,68.68,24.44,-70.36,,35.0,1,3.7,40.48,0.57,True,,60,16.07,7.52,3.96,73.26,117.1,-28.19,False,True,63.33,-61.97
ELX_2000,ELX,2000,gap,1,2000-08-04,46.1,63.0,149,,419.72,67.94,35.95,5.78,6.76,83.69,8.17,89.34,1.07,True,False,False,False,-69.87,91.38,13.01,8.7,-37.09,50.0,4,12.71,37.59,1.04,True,,60,-0.47,30.54,58.23,82.06,148.01,-36.71,False,False,80.0,-61.97
ELX_2000,ELX,2000,breakout20,2,2000-08-16,50.9,76.3,157,,419.72,73.5,0.81,0.77,0.78,86.58,8.96,105.7,1.39,True,False,True,False,-67.41,107.04,13.74,42.03,-43.3,60.0,4,10.81,41.91,0.56,True,,60,33.67,36.73,41.16,114.88,137.41,-41.5,False,True,76.67,-61.97
ELX_2000,ELX,2000,breakout50,1,2000-08-17,51.5,108.5,158,,419.72,86.94,-0.12,2.16,2.04,98.74,9.49,119.74,1.59,True,False,True,False,-61.45,144.9,39.66,66.2,-34.17,61.67,4,9.44,50.57,0.83,True,,60,30.04,20.42,13.87,66.28,100.71,-50.54,False,False,75.0,-61.97
ELX_2000,ELX,2000,breakout20,3,2000-10-19,78.2,255.0,202,,419.72,148.0,4.23,1.56,1.39,92.66,11.39,318.81,2.59,True,True,True,False,-34.37,316.9,32.59,144.63,218.69,71.67,0,10.33,36.41,0.99,False,False,60,5.49,3.38,5.24,-34.33,24.66,-62.99,False,False,43.33,-69.55
ELX_2000,ELX,2000,breakout50,2,2000-10-19,78.2,255.0,202,,419.72,148.0,4.23,1.56,1.39,92.66,11.39,318.81,2.59,True,True,True,False,-34.37,316.9,32.59,144.63,218.69,71.67,0,10.33,36.41,0.99,False,False,60,5.49,3.38,5.24,-34.33,24.66,-62.99,False,False,43.33,-69.55
ELX_2000,ELX,2000,breakout20,4,2000-11-03,84.8,310.0,213,,419.72,170.94,1.23,1.59,1.43,94.4,11.24,394.4,2.6,True,True,True,False,-24.2,381.52,53.31,150.24,202.23,78.33,0,8.82,40.54,0.78,False,False,60,-15.43,-12.83,-26.47,-42.57,7.93,-67.95,False,False,43.33,-69.55
