kind,move_key,symbol,year,date,entry_ordinal,pct_through_move,sa_uptrend,adr_pct_20,dollar_vol_20m,event_rel_vol20,gain_from_move_start,spy_above_50sma,entry,s0,risk_pct,r,days,reason
ours_sa_exit,CIEN_2000,CIEN,2000,2000-05-16,6,45.0,False,10.666893417476986,733.27963135445,1.0930791086659215,232.8,True,534.4062,503.7812,5.73,-1.0,2,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-06-19,7,56.5,True,8.639227724267887,815.8577917226551,0.7943518994707898,240.1,True,546.0,493.5,9.62,-1.0,28,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-07-03,8,61.5,True,6.3240177494677905,683.2324932457501,0.33731699196119785,272.8,True,598.5,575.75,3.8,-1.0,1,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-08-15,9,76.5,True,6.903058129673087,596.9738179377,1.1505855013507773,270.6,True,595.0,568.9688,4.37,2.151,19,sa_flip
ours_sa_exit,CIEN_2000,CIEN,2000,2000-08-22,10,79.0,True,7.221666937225157,900.1435064901651,1.6850042856385608,317.2,True,669.8125,637.0,4.9,-0.573,14,sa_flip
ours_sa_exit,CIEN_2000,CIEN,2000,2000-08-28,11,81.0,True,5.944034264114376,954.0700557239651,1.0607843132268846,356.5,True,733.0312,690.1562,5.85,-1.0,9,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-08-31,12,82.5,True,5.636863596929072,1018.453978312115,0.8901695556880095,383.2,True,775.9062,725.8125,6.46,-1.0,2,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-09-20,13,89.0,True,6.669607955179996,1561.990647863365,0.7926608193483806,409.0,False,817.25,775.25,5.14,-1.583,2,stop
ours_sa_exit,CIEN_2000,CIEN,2000,2000-10-20,14,100.0,True,9.913916985231252,1617.215165809215,0.8763938958949994,551.8,False,1046.5,975.625,6.77,-1.0,1,stop
sa_system,CTIC_2000,CTIC,2000,2000-06-09,1,53.7,,9.416759578853927,18.100594959,1.2200621610092022,313.8,True,27000.0,18550.2706,31.3,2.253,72,sa_flip
sa_system,CTIC_2000,CTIC,2000,2000-09-22,2,90.0,,8.70876361273344,64.3945212745,1.3933236574746009,821.8,False,60150.0,40642.2474,32.43,0.316,35,sa_flip
ours_sa_exit,CTIC_2000,CTIC,2000,2000-02-14,1,13.4,False,14.34008646998483,17.152940106,1.276189610507658,215.5,,20584.8,17740.35,13.82,-1.0,43,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-02-16,2,14.4,False,14.146292255399434,19.483341675000002,1.7206548241031,273.6,,24375.0,19950.0,18.15,-1.0,23,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-02-25,3,17.4,False,14.454544921157886,26.7134786305,1.4639218132667915,422.6,,34096.77,28602.15,16.11,-1.0,11,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-02-28,4,17.9,False,13.936117113671258,30.2125923805,1.7843985263495117,506.9,,39600.0,36000.0,9.09,-1.0,9,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-05-12,5,44.3,False,11.848640166168243,15.652532897999999,1.8787841722218825,237.9,False,22050.0,19650.0,10.88,-1.0,8,stop
ours_sa_exit,CTIC_2000,CTIC,2000,2000-05-15,6,44.8,False,11.394368699238548,15.945595397999998,1.3130386942967174,254.0,True,23100.0,21600.0,6.49,-1.0,5,stop
