year,symbol,gain_pct,low_date,high_date,low_price,high_price,avg_vol_b
2003,STX,302.96,2003-02-10,2003-10-15,7.78,31.35,1.29
2003,XMSR,1037.5,2003-01-02,2003-12-31,2.4,27.3,1.3
2004,AAPL,228.48,2004-01-02,2004-11-29,0.3782,1.2423,7.27
2004,AAXN,386.66,2004-01-02,2004-12-30,6.8733,33.45,8.51
2004,ADSK,222.15,2004-01-02,2004-12-23,12.1,38.98,1.63
2004,ADYX,294.22,2004-06-18,2004-12-22,3868.422,15250.002,28.19
2004,AEO,201.7,2004-01-05,2004-12-30,5.2767,15.92,1.07
2004,AMD,131.88,2004-08-12,2004-12-06,10.76,24.95,3.61
2004,AUO,132.65,2004-01-02,2004-04-15,12.25,28.5,1.0
2004,AVTA,151.28,2004-01-02,2004-11-15,23.05,57.92,1.09
2004,CME,216.97,2004-01-02,2004-12-31,14.5,45.96,1.51
2004,CREE,138.43,2004-01-02,2004-12-07,17.8,42.44,1.19
2004,ELN,342.59,2004-01-06,2004-11-15,6.88,30.45,2.38
2004,NVDA,168.39,2004-08-06,2004-12-07,0.0775,0.208,2.23
2004,OSIP,235.6,2004-02-24,2004-04-26,29.41,98.7,3.23
2004,OVTI,127.34,2004-08-12,2004-12-03,8.96,20.37,1.53
2004,RMBS,125.69,2004-09-08,2004-12-15,12.34,27.85,1.24
2004,SEPR,149.11,2004-01-02,2004-12-30,24.07,59.96,2.11
2004,SIRI,369.15,2004-08-11,2004-12-07,20.1,94.3,6.27
2004,SSC,316.67,2004-02-24,2004-03-16,2032.11,8467.11,1.14
2004,TASR,386.67,2004-01-02,2004-12-30,6.8732,33.45,8.3
2004,TZOO,1458.03,2004-01-14,2004-12-28,7.1,110.62,1.66
2004,VRSN,141.57,2004-03-23,2004-12-15,14.94,36.09,1.48
2004,WCST,316.67,2004-02-24,2004-03-16,2032.11,8467.11,1.14
2005,AAPL,141.08,2005-01-03,2005-12-13,1.1179,2.695,24.79
2005,ACGN,155.55,2005-01-06,2005-01-25,510.0,1303.3288,3.37
2005,AMD,126.14,2005-04-29,2005-12-29,14.08,31.84,4.13
2005,AMLN,192.14,2005-06-08,2005-12-21,14.5,42.36,1.39
2005,ANDV,154.23,2005-01-14,2005-09-22,14.125,35.91,1.94
2005,BOOM,653.76,2005-01-12,2005-12-27,4.325,32.6,1.1
2005,CAPA,629.41,2005-02-22,2005-03-23,106.25,775.0,4.53
2005,CELG,164.4,2005-01-04,2005-12-30,6.18,16.34,2.09
2005,CME,142.31,2005-04-21,2005-11-25,32.76,79.38,5.12
2005,CTRC,200.44,2005-01-05,2005-05-19,66.07,198.5,1.37
2005,ECA,126.25,2005-01-07,2005-10-03,13.22,29.91,2.64
2005,ELN,383.67,2005-03-31,2005-12-16,3.0,14.51,2.02
2005,EOG,155.85,2005-01-05,2005-12-13,16.025,41.0,3.16
2005,ESRX,148.74,2005-01-28,2005-12-12,9.13,22.71,1.92
